Регион,Случаи заболевания,Выздоровело,Умерло,Дата
Псковская область,81,9,6,24.04.2020
Иркутская область,80,23,3,24.04.2020
Еврейская автономная область,80,9,0,24.04.2020
Магаданская область,78,2,0,24.04.2020
Кемеровская область,76,11,1,24.04.2020
Забайкальский край,73,7,0,24.04.2020
Томская область,59,4,0,24.04.2020
Омская область,54,19,0,24.04.2020
Республика Крым,53,29,0,24.04.2020
Республика Карелия,37,3,0,24.04.2020
Амурская область,28,5,0,24.04.2020
Севастополь,25,5,0,24.04.2020
Курганская область,22,3,0,24.04.2020
Сахалинская область,20,8,0,24.04.2020
Республика Тыва,15,0,0,24.04.2020
Чукотский автономный округ,11,0,0,24.04.2020
Республика Алтай,9,0,0,24.04.2020
Ненецкий автономный округ,1,0,0,24.04.2020
Москва,39509,3047,366,25.04.2020
Московская область,8494,262,69,25.04.2020
Санкт-Петербург,2926,460,23,25.04.2020
Нижегородская область,1214,92,8,25.04.2020
Мурманская область,856,70,4,25.04.2020
Республика Дагестан,724,43,11,25.04.2020
Краснодарский край,707,118,18,25.04.2020
Ленинградская область,658,56,0,25.04.2020
Ростовская область,584,18,0,25.04.2020
Тульская область,578,57,4,25.04.2020
Республика Коми,561,28,4,25.04.2020
Рязанская область,539,38,0,25.04.2020
Брянская область,521,84,2,25.04.2020
Республика Ингушетия,515,67,13,25.04.2020
Калужская область,513,17,8,25.04.2020
Республика Татарстан,491,48,0,25.04.2020
Республика Башкортостан,490,57,14,25.04.2020
Республика Мордовия,469,18,2,25.04.2020
Красноярский край,467,51,5,25.04.2020
Тверская область,441,24,0,25.04.2020
Владимирская область,426,11,5,25.04.2020
Республика Марий Эл,407,46,1,25.04.2020
Курская область,389,38,4,25.04.2020
Чеченская Республика,387,23,6,25.04.2020
Ставропольский край,385,50,5,25.04.2020
Республика Чувашия,383,31,7,25.04.2020
Хабаровский край,379,22,5,25.04.2020
Тюменская область,374,50,3,25.04.2020
Пермский край,373,52,4,25.04.2020
Оренбургская область,361,55,2,25.04.2020
Тамбовская область,343,37,1,25.04.2020
Ярославская область,342,23,2,25.04.2020
Свердловская область,337,82,1,25.04.2020
Орловская область,321,10,2,25.04.2020
Кировская область,316,29,3,25.04.2020
Воронежская область,313,38,8,25.04.2020
Республика Северная Осетия — Алания,305,35,2,25.04.2020
Ямало-Ненецкий автономный округ,303,35,1,25.04.2020
Липецкая область,284,64,2,25.04.2020
Ульяновская область,280,5,3,25.04.2020
Смоленская область,279,15,2,25.04.2020
Кабардино-Балкарская Республика,272,21,1,25.04.2020
Саратовская область,265,34,2,25.04.2020
Ивановская область,263,41,2,25.04.2020
Пензенская область,255,30,6,25.04.2020
Приморский край,254,32,2,25.04.2020
Новосибирская область,247,24,4,25.04.2020
Карачаево-Черкесская Республика,240,1,0,25.04.2020
Челябинская область ,240,45,0,25.04.2020
Ханты-Мансийский АО,233,44,1,25.04.2020
Белгородская область,221,28,2,25.04.2020
Алтайский край,215,18,1,25.04.2020
Волгоградская область,212,34,5,25.04.2020
Астраханская область,211,29,4,25.04.2020
Калининградская область,210,49,1,25.04.2020
Самарская область,209,22,0,25.04.2020
Удмуртская Республика,193,19,4,25.04.2020
Новгородская область,186,14,1,25.04.2020
Республика Бурятия,180,62,2,25.04.2020
Республика Хакасия,151,10,2,25.04.2020
Архангельская область,147,18,1,25.04.2020
Республика Саха (Якутия),141,18,0,25.04.2020
Вологодская область,138,29,0,25.04.2020
Костромская область,137,11,3,25.04.2020
Республика Калмыкия,122,19,3,25.04.2020
Республика Адыгея,119,32,3,25.04.2020
Псковская область,93,9,6,25.04.2020
Камчатский край,87,5,0,25.04.2020
Магаданская область,87,2,0,25.04.2020
Еврейская автономная область,86,9,0,25.04.2020
Иркутская область,85,25,3,25.04.2020
Забайкальский край,83,13,0,25.04.2020
Кемеровская область,82,11,1,25.04.2020
Томская область,66,4,0,25.04.2020
Омская область,58,19,1,25.04.2020
Республика Крым,57,29,0,25.04.2020
Республика Карелия,42,4,0,25.04.2020
Амурская область,33,5,0,25.04.2020
Курганская область,27,4,0,25.04.2020
Севастополь,26,6,0,25.04.2020
Республика Тыва,24,0,0,25.04.2020
Сахалинская область,20,13,0,25.04.2020
Республика Алтай,14,0,0,25.04.2020
Чукотский автономный округ,12,1,0,25.04.2020
Ненецкий автономный округ,1,1,0,25.04.2020
Москва,42480,3175,404,26.04.2020
Московская область,9070,272,71,26.04.2020
Санкт-Петербург,3077,489,27,26.04.2020
Нижегородская область,1367,109,8,26.04.2020
Мурманская область,961,71,4,26.04.2020
Республика Дагестан,827,48,11,26.04.2020
Краснодарский край,780,122,19,26.04.2020
Ленинградская область,700,56,0,26.04.2020
Ростовская область,649,37,1,26.04.2020
Тульская область,644,59,5,26.04.2020
Рязанская область,602,47,0,26.04.2020
Брянская область,599,90,3,26.04.2020
Калужская область,583,25,8,26.04.2020
Республика Коми,578,52,5,26.04.2020
Республика Татарстан,562,51,0,26.04.2020
Республика Ингушетия,552,75,13,26.04.2020
Республика Башкортостан,527,59,14,26.04.2020
Республика Мордовия,518,36,2,26.04.2020
Красноярский край,508,59,5,26.04.2020
Владимирская область,475,11,5,26.04.2020
Тверская область,464,24,1,26.04.2020
Курская область,456,38,4,26.04.2020
Пермский край,434,52,4,26.04.2020
Республика Марий Эл,431,46,3,26.04.2020
Республика Чувашия,421,31,8,26.04.2020
Ставропольский край,421,58,6,26.04.2020
Чеченская Республика,409,23,6,26.04.2020
Хабаровский край,406,22,5,26.04.2020
Тамбовская область,399,47,1,26.04.2020
Свердловская область,395,87,1,26.04.2020
Тюменская область,386,58,3,26.04.2020
Ярославская область,384,23,2,26.04.2020
Оренбургская область,377,58,2,26.04.2020
Орловская область,363,32,2,26.04.2020
Кировская область,362,37,3,26.04.2020
Ямало-Ненецкий автономный округ,348,35,1,26.04.2020
Республика Северная Осетия — Алания,348,35,2,26.04.2020
Воронежская область,338,42,8,26.04.2020
Ульяновская область,307,5,3,26.04.2020
Липецкая область,306,64,2,26.04.2020
Саратовская область,305,38,2,26.04.2020
Новосибирская область,305,39,4,26.04.2020
Челябинская область ,302,47,0,26.04.2020
Кабардино-Балкарская Республика,300,21,1,26.04.2020
Смоленская область,289,15,2,26.04.2020
Алтайский край,283,22,2,26.04.2020
Карачаево-Черкесская Республика,282,4,1,26.04.2020
Приморский край,278,33,3,26.04.2020
Астраханская область,277,42,4,26.04.2020
Ивановская область,274,70,2,26.04.2020
Ханты-Мансийский АО,274,53,1,26.04.2020
Пензенская область,261,56,6,26.04.2020
Волгоградская область,242,37,6,26.04.2020
Белгородская область,242,31,2,26.04.2020
Калининградская область,236,59,3,26.04.2020
Самарская область,229,26,2,26.04.2020
Новгородская область,211,14,2,26.04.2020
Удмуртская Республика,202,19,4,26.04.2020
Республика Бурятия,186,69,2,26.04.2020
Республика Хакасия,176,15,2,26.04.2020
Архангельская область,167,22,1,26.04.2020
Республика Саха (Якутия),152,18,0,26.04.2020
Костромская область,148,11,3,26.04.2020
Республика Калмыкия,146,19,3,26.04.2020
Вологодская область,145,33,0,26.04.2020
Республика Адыгея,134,32,3,26.04.2020
Псковская область,110,9,7,26.04.2020
Камчатский край,110,5,0,26.04.2020
Кемеровская область,103,11,1,26.04.2020
Забайкальский край,90,13,0,26.04.2020
Магаданская область,88,2,0,26.04.2020
Иркутская область,87,25,4,26.04.2020
Еврейская автономная область,86,9,0,26.04.2020
Республика Крым,67,29,0,26.04.2020
Томская область,67,4,0,26.04.2020
Омская область,62,20,2,26.04.2020
Республика Карелия,44,5,0,26.04.2020
Амурская область,36,5,0,26.04.2020
Севастополь,31,6,0,26.04.2020
Курганская область,29,4,0,26.04.2020
Республика Тыва,27,0,0,26.04.2020
Сахалинская область,20,13,0,26.04.2020
Республика Алтай,15,0,0,26.04.2020
Чукотский автономный округ,15,1,0,26.04.2020
Ненецкий автономный округ,2,1,0,26.04.2020
Москва,45351,3524,435,27.04.2020
Московская область,9708,286,71,27.04.2020
Санкт-Петербург,3238,489,27,27.04.2020
Нижегородская область,1574,109,9,27.04.2020
Республика Дагестан,994,48,11,27.04.2020
Мурманская область,989,73,4,27.04.2020
Краснодарский край,837,125,19,27.04.2020
Ленинградская область,743,80,0,27.04.2020
Ростовская область,714,40,2,27.04.2020
Тульская область,713,59,5,27.04.2020
Рязанская область,687,47,3,27.04.2020
Брянская область,642,102,4,27.04.2020
Калужская область,639,26,8,27.04.2020
Республика Татарстан,632,54,0,27.04.2020
Республика Коми,590,52,5,27.04.2020
Республика Ингушетия,590,90,17,27.04.2020
Республика Башкортостан,570,72,14,27.04.2020
Республика Мордовия,560,36,2,27.04.2020
Красноярский край,527,59,5,27.04.2020
Курская область,525,46,4,27.04.2020
Владимирская область,518,11,5,27.04.2020
Тверская область,498,24,1,27.04.2020
Республика Чувашия,463,44,8,27.04.2020
Республика Марий Эл,462,46,3,27.04.2020
Тамбовская область,460,48,1,27.04.2020
Свердловская область,454,88,1,27.04.2020
Ставропольский край,454,73,6,27.04.2020
Пермский край,454,61,4,27.04.2020
Хабаровский край,439,22,5,27.04.2020
Чеченская Республика,429,23,6,27.04.2020
Ярославская область,409,26,3,27.04.2020
Орловская область,407,32,2,27.04.2020
Республика Северная Осетия — Алания,401,57,2,27.04.2020
Тюменская область,399,61,3,27.04.2020
Оренбургская область,391,58,2,27.04.2020
Кировская область,388,38,3,27.04.2020
Ямало-Ненецкий автономный округ,375,35,1,27.04.2020
Челябинская область ,360,47,0,27.04.2020
Воронежская область,358,57,8,27.04.2020
Новосибирская область,347,39,4,27.04.2020
Ульяновская область,331,5,4,27.04.2020
Липецкая область,330,65,2,27.04.2020
Кабардино-Балкарская Республика,329,28,1,27.04.2020
Саратовская область,327,39,2,27.04.2020
Смоленская область,324,26,2,27.04.2020
Алтайский край,310,29,1,27.04.2020
Приморский край,302,33,3,27.04.2020
Карачаево-Черкесская Республика,301,4,2,27.04.2020
Астраханская область,298,44,4,27.04.2020
Ханты-Мансийский АО,297,55,2,27.04.2020
Пензенская область,283,58,6,27.04.2020
Ивановская область,282,70,2,27.04.2020
Волгоградская область,272,37,8,27.04.2020
Белгородская область,269,31,2,27.04.2020
Калининградская область,264,59,3,27.04.2020
Самарская область,264,26,2,27.04.2020
Новгородская область,244,14,2,27.04.2020
Республика Бурятия,209,69,2,27.04.2020
Удмуртская Республика,207,19,5,27.04.2020
Камчатский край,195,5,0,27.04.2020
Республика Хакасия,184,15,2,27.04.2020
Архангельская область,175,22,1,27.04.2020
Республика Саха (Якутия),159,18,1,27.04.2020
Костромская область,158,11,3,27.04.2020
Республика Калмыкия,158,19,3,27.04.2020
Вологодская область,155,33,0,27.04.2020
Республика Адыгея,142,32,3,27.04.2020
Псковская область,124,13,8,27.04.2020
Кемеровская область,107,12,1,27.04.2020
Еврейская автономная область,101,9,0,27.04.2020
Забайкальский край,96,14,0,27.04.2020
Магаданская область,91,2,0,27.04.2020
Иркутская область,87,25,4,27.04.2020
Томская область,76,11,0,27.04.2020
Омская область,71,20,1,27.04.2020
Республика Крым,69,29,0,27.04.2020
Республика Карелия,56,5,0,27.04.2020
Амурская область,40,5,0,27.04.2020
Севастополь,34,7,0,27.04.2020
Курганская область,31,4,0,27.04.2020
Республика Тыва,30,0,0,27.04.2020
Республика Алтай,27,0,0,27.04.2020
Сахалинская область,21,15,0,27.04.2020
Чукотский автономный округ,17,1,0,27.04.2020
Ненецкий автономный округ,11,1,0,27.04.2020
Москва,48426,4130,479,28.04.2020
Московская область,10231,311,74,28.04.2020
Санкт-Петербург,3436,544,27,28.04.2020
Нижегородская область,1663,109,9,28.04.2020
Республика Дагестан,1147,76,11,28.04.2020
Мурманская область,1056,88,4,28.04.2020
Краснодарский край,888,132,19,28.04.2020
Рязанская область,788,47,3,28.04.2020
Тульская область,783,59,5,28.04.2020
Ленинградская область,781,105,0,28.04.2020
Ростовская область,778,89,2,28.04.2020
Калужская область,706,30,12,28.04.2020
Республика Татарстан,697,72,0,28.04.2020
Брянская область,668,102,4,28.04.2020
Республика Ингушетия,633,97,18,28.04.2020
Республика Башкортостан,631,80,14,28.04.2020
Владимирская область,597,11,5,28.04.2020
Республика Коми,597,52,5,28.04.2020
Республика Мордовия,592,36,2,28.04.2020
Курская область,590,46,4,28.04.2020
Красноярский край,574,64,7,28.04.2020
Республика Северная Осетия — Алания,549,57,2,28.04.2020
Свердловская область,539,88,1,28.04.2020
Тверская область,507,35,1,28.04.2020
Республика Чувашия,502,44,8,28.04.2020
Республика Марий Эл,500,81,3,28.04.2020
Тамбовская область,493,50,1,28.04.2020
Ставропольский край,491,73,6,28.04.2020
Пермский край,471,67,4,28.04.2020
Хабаровский край,467,25,5,28.04.2020
Орловская область,460,38,2,28.04.2020
Ярославская область,456,26,3,28.04.2020
Оренбургская область,456,82,2,28.04.2020
Чеченская Республика,447,79,7,28.04.2020
Кировская область,423,38,3,28.04.2020
Воронежская область,420,57,8,28.04.2020
Челябинская область ,408,47,0,28.04.2020
Новосибирская область,407,53,4,28.04.2020
Тюменская область,404,61,3,28.04.2020
Ямало-Ненецкий автономный округ,387,39,1,28.04.2020
Смоленская область,369,26,3,28.04.2020
Кабардино-Балкарская Республика,367,28,1,28.04.2020
Ульяновская область,360,10,4,28.04.2020
Саратовская область,359,39,2,28.04.2020
Липецкая область,356,65,4,28.04.2020
Приморский край,347,33,3,28.04.2020
Ханты-Мансийский АО,338,59,2,28.04.2020
Алтайский край,324,34,1,28.04.2020
Пензенская область,322,58,7,28.04.2020
Карачаево-Черкесская Республика,314,6,2,28.04.2020
Астраханская область,306,55,4,28.04.2020
Калининградская область,303,66,3,28.04.2020
Белгородская область,299,31,3,28.04.2020
Волгоградская область,297,44,8,28.04.2020
Ивановская область,296,70,2,28.04.2020
Самарская область,272,27,5,28.04.2020
Новгородская область,254,18,2,28.04.2020
Республика Бурятия,227,70,2,28.04.2020
Удмуртская Республика,212,19,6,28.04.2020
Республика Хакасия,206,17,7,28.04.2020
Камчатский край,203,6,0,28.04.2020
Архангельская область,181,29,1,28.04.2020
Костромская область,180,12,3,28.04.2020
Республика Калмыкия,167,24,3,28.04.2020
Республика Саха (Якутия),166,18,1,28.04.2020
Вологодская область,160,41,0,28.04.2020
Республика Адыгея,150,32,3,28.04.2020
Псковская область,128,14,8,28.04.2020
Еврейская автономная область,113,9,0,28.04.2020
Кемеровская область,111,12,2,28.04.2020
Забайкальский край,103,14,0,28.04.2020
Иркутская область,95,33,4,28.04.2020
Магаданская область,92,3,2,28.04.2020
Омская область,82,21,1,28.04.2020
Томская область,81,11,0,28.04.2020
Республика Крым,70,29,0,28.04.2020
Республика Карелия,62,5,0,28.04.2020
Амурская область,41,10,0,28.04.2020
Севастополь,37,7,0,28.04.2020
Курганская область,33,4,0,28.04.2020
Республика Тыва,31,8,0,28.04.2020
Ненецкий автономный округ,29,1,0,28.04.2020
Республика Алтай,27,0,0,28.04.2020
Сахалинская область,22,17,0,28.04.2020
Чукотский автономный округ,17,1,0,28.04.2020
Москва,50646,4610,546,29.04.2020
Московская область,10917,389,90,29.04.2020
Санкт-Петербург,3726,708,29,29.04.2020
Нижегородская область,1794,177,11,29.04.2020
Республика Дагестан,1231,88,12,29.04.2020
Мурманская область,1126,98,4,29.04.2020
Краснодарский край,951,208,20,29.04.2020
Тульская область,873,79,6,29.04.2020
Ростовская область,864,89,3,29.04.2020
Рязанская область,840,47,3,29.04.2020
Ленинградская область,834,115,1,29.04.2020
Брянская область,783,163,4,29.04.2020
Калужская область,772,32,12,29.04.2020
Республика Татарстан,752,78,1,29.04.2020
Республика Башкортостан,691,80,14,29.04.2020
Республика Ингушетия,679,102,19,29.04.2020
Республика Северная Осетия — Алания,670,72,2,29.04.2020
Республика Мордовия,659,49,3,29.04.2020
Курская область,658,66,4,29.04.2020
Владимирская область,634,32,5,29.04.2020
Свердловская область,629,96,1,29.04.2020
Республика Коми,611,63,5,29.04.2020
Красноярский край,609,64,7,29.04.2020
Республика Чувашия,539,70,8,29.04.2020
Тамбовская область,537,77,1,29.04.2020
Республика Марий Эл,535,274,2,29.04.2020
Ставропольский край,519,81,10,29.04.2020
Тверская область,518,39,1,29.04.2020
Орловская область,498,59,3,29.04.2020
Хабаровский край,498,53,5,29.04.2020
Оренбургская область,493,108,3,29.04.2020
Ярославская область,483,43,4,29.04.2020
Пермский край,481,87,5,29.04.2020
Кировская область,466,41,4,29.04.2020
Чеченская Республика,465,79,7,29.04.2020
Воронежская область,459,57,8,29.04.2020
Новосибирская область,436,63,4,29.04.2020
Челябинская область ,427,49,1,29.04.2020
Тюменская область,420,88,3,29.04.2020
Кабардино-Балкарская Республика,412,50,2,29.04.2020
Ямало-Ненецкий автономный округ,409,101,1,29.04.2020
Смоленская область,403,26,3,29.04.2020
Саратовская область,392,49,2,29.04.2020
Липецкая область,384,67,2,29.04.2020
Ульяновская область,379,15,4,29.04.2020
Приморский край,367,33,3,29.04.2020
Ханты-Мансийский АО,366,67,2,29.04.2020
Пензенская область,364,96,7,29.04.2020
Астраханская область,350,60,4,29.04.2020
Алтайский край,348,45,1,29.04.2020
Карачаево-Черкесская Республика,330,14,2,29.04.2020
Белгородская область,327,38,3,29.04.2020
Ивановская область,327,70,2,29.04.2020
Самарская область,327,33,5,29.04.2020
Калининградская область,326,66,3,29.04.2020
Волгоградская область,313,46,8,29.04.2020
Новгородская область,266,22,2,29.04.2020
Республика Бурятия,245,83,2,29.04.2020
Камчатский край,241,14,0,29.04.2020
Республика Хакасия,228,20,7,29.04.2020
Удмуртская Республика,217,28,6,29.04.2020
Костромская область,193,25,3,29.04.2020
Архангельская область,185,45,1,29.04.2020
Республика Калмыкия,183,37,3,29.04.2020
Республика Саха (Якутия),183,25,2,29.04.2020
Вологодская область,166,45,0,29.04.2020
Республика Адыгея,154,37,3,29.04.2020
Псковская область,142,14,8,29.04.2020
Еврейская автономная область,118,9,0,29.04.2020
Кемеровская область,114,12,2,29.04.2020
Забайкальский край,109,25,0,29.04.2020
Иркутская область,101,37,4,29.04.2020
Магаданская область,99,3,2,29.04.2020
Омская область,87,22,2,29.04.2020
Томская область,87,19,0,29.04.2020
Республика Крым,79,34,0,29.04.2020
Севастополь,77,9,0,29.04.2020
Республика Карелия,63,7,0,29.04.2020
Амурская область,46,10,0,29.04.2020
Курганская область,39,9,0,29.04.2020
Республика Тыва,31,25,0,29.04.2020
Ненецкий автономный округ,30,1,0,29.04.2020
Республика Алтай,30,0,0,29.04.2020
Сахалинская область,22,19,0,29.04.2020
Чукотский автономный округ,17,1,0,29.04.2020
Москва,53739,5135,611,30.04.2020
Московская область,11710,430,93,30.04.2020
Санкт-Петербург,4062,779,29,30.04.2020
Нижегородская область,1944,226,12,30.04.2020
Республика Дагестан,1389,112,12,30.04.2020
Мурманская область,1227,98,4,30.04.2020
Краснодарский край,1017,251,20,30.04.2020
Тульская область,965,96,7,30.04.2020
Ростовская область,943,89,6,30.04.2020
Брянская область,901,222,8,30.04.2020
Ленинградская область,885,115,1,30.04.2020
Калужская область,885,44,12,30.04.2020
Рязанская область,880,47,3,30.04.2020
Республика Татарстан,823,83,1,30.04.2020
Республика Башкортостан,766,120,14,30.04.2020
Республика Северная Осетия — Алания,763,72,3,30.04.2020
Курская область,726,75,4,30.04.2020
Республика Ингушетия,722,105,20,30.04.2020
Свердловская область,703,102,1,30.04.2020
Республика Мордовия,698,72,3,30.04.2020
Владимирская область,669,32,5,30.04.2020
Красноярский край,666,64,8,30.04.2020
Республика Коми,621,64,5,30.04.2020
Тамбовская область,612,93,2,30.04.2020
Республика Чувашия,586,97,8,30.04.2020
Республика Марий Эл,566,304,2,30.04.2020
Ставропольский край,562,81,14,30.04.2020
Хабаровский край,536,73,5,30.04.2020
Тверская область,535,51,3,30.04.2020
Орловская область,525,67,5,30.04.2020
Оренбургская область,520,119,3,30.04.2020
Ярославская область,506,43,4,30.04.2020
Пермский край,500,91,7,30.04.2020
Челябинская область ,494,54,1,30.04.2020
Кировская область,493,42,4,30.04.2020
Воронежская область,493,74,9,30.04.2020
Чеченская Республика,485,127,7,30.04.2020
Новосибирская область,471,78,4,30.04.2020
Ямало-Ненецкий автономный округ,463,105,1,30.04.2020
Кабардино-Балкарская Республика,456,62,2,30.04.2020
Саратовская область,438,49,2,30.04.2020
Тюменская область,435,95,3,30.04.2020
Смоленская область,429,26,3,30.04.2020
Липецкая область,415,84,2,30.04.2020
Ульяновская область,406,48,4,30.04.2020
Пензенская область,404,116,7,30.04.2020
Приморский край,403,33,3,30.04.2020
Ханты-Мансийский АО,387,80,3,30.04.2020
Алтайский край,382,45,1,30.04.2020
Самарская область,367,36,5,30.04.2020
Астраханская область,365,75,4,30.04.2020
Ивановская область,359,79,3,30.04.2020
Калининградская область,358,66,3,30.04.2020
Белгородская область,355,40,4,30.04.2020
Карачаево-Черкесская Республика,352,14,2,30.04.2020
Волгоградская область,344,46,8,30.04.2020
Новгородская область,279,22,2,30.04.2020
Республика Бурятия,271,88,3,30.04.2020
Камчатский край,265,17,0,30.04.2020
Республика Хакасия,232,20,7,30.04.2020
Удмуртская Республика,228,31,8,30.04.2020
Костромская область,211,29,3,30.04.2020
Республика Саха (Якутия),207,27,3,30.04.2020
Архангельская область,198,46,1,30.04.2020
Республика Калмыкия,192,38,3,30.04.2020
Вологодская область,173,45,0,30.04.2020
Республика Адыгея,163,48,3,30.04.2020
Псковская область,149,17,8,30.04.2020
Кемеровская область,126,18,2,30.04.2020
Еврейская автономная область,124,9,0,30.04.2020
Забайкальский край,114,26,0,30.04.2020
Иркутская область,105,39,4,30.04.2020
Магаданская область,101,3,2,30.04.2020
Омская область,97,24,3,30.04.2020
Республика Крым,89,35,0,30.04.2020
Томская область,89,21,0,30.04.2020
Севастополь,78,9,0,30.04.2020
Республика Карелия,66,10,0,30.04.2020
Амурская область,56,10,1,30.04.2020
Курганская область,40,11,0,30.04.2020
Ненецкий автономный округ,33,1,0,30.04.2020
Республика Тыва,33,29,0,30.04.2020
Республика Алтай,32,0,0,30.04.2020
Сахалинская область,23,19,0,30.04.2020
Чукотский автономный округ,18,1,0,30.04.2020
Москва,57300,5766,658,01.05.2020
Московская область,12507,458,109,01.05.2020
Санкт-Петербург,4411,779,33,01.05.2020
Нижегородская область,2123,289,14,01.05.2020
Республика Дагестан,1553,114,12,01.05.2020
Мурманская область,1313,113,4,01.05.2020
Краснодарский край,1083,277,20,01.05.2020
Тульская область,1047,121,7,01.05.2020
Ростовская область,1026,98,9,01.05.2020
Калужская область,1006,54,12,01.05.2020
Брянская область,989,240,9,01.05.2020
Свердловская область,935,102,1,01.05.2020
Ленинградская область,929,126,3,01.05.2020
Рязанская область,923,64,5,01.05.2020
Республика Татарстан,894,88,1,01.05.2020
Республика Башкортостан,843,167,14,01.05.2020
Республика Северная Осетия — Алания,836,84,4,01.05.2020
Курская область,792,94,4,01.05.2020
Республика Ингушетия,769,129,22,01.05.2020
Республика Мордовия,728,86,3,01.05.2020
Владимирская область,715,37,7,01.05.2020
Красноярский край,714,124,9,01.05.2020
Тамбовская область,675,106,2,01.05.2020
Ставропольский край,651,101,14,01.05.2020
Республика Коми,649,64,5,01.05.2020
Республика Чувашия,627,117,8,01.05.2020
Республика Марий Эл,597,332,3,01.05.2020
Ярославская область,570,63,5,01.05.2020
Оренбургская область,569,179,3,01.05.2020
Хабаровский край,566,73,5,01.05.2020
Тверская область,564,74,3,01.05.2020
Орловская область,562,82,5,01.05.2020
Челябинская область ,538,57,1,01.05.2020
Воронежская область,529,74,9,01.05.2020
Новосибирская область,526,80,5,01.05.2020
Пермский край,524,95,7,01.05.2020
Ямало-Ненецкий автономный округ,514,116,1,01.05.2020
Кировская область,511,46,4,01.05.2020
Чеченская Республика,504,231,7,01.05.2020
Кабардино-Балкарская Республика,499,78,2,01.05.2020
Саратовская область,487,52,2,01.05.2020
Смоленская область,455,27,3,01.05.2020
Пензенская область,448,132,7,01.05.2020
Липецкая область,446,89,2,01.05.2020
Тюменская область,442,109,3,01.05.2020
Приморский край,430,59,4,01.05.2020
Ульяновская область,429,65,4,01.05.2020
Алтайский край,423,55,1,01.05.2020
Ханты-Мансийский АО,405,80,3,01.05.2020
Ивановская область,403,79,3,01.05.2020
Карачаево-Черкесская Республика,398,14,2,01.05.2020
Калининградская область,395,73,5,01.05.2020
Самарская область,392,52,5,01.05.2020
Волгоградская область,386,66,8,01.05.2020
Астраханская область,384,81,4,01.05.2020
Белгородская область,383,47,5,01.05.2020
Новгородская область,297,26,2,01.05.2020
Республика Бурятия,297,94,4,01.05.2020
Камчатский край,281,19,0,01.05.2020
Республика Хакасия,257,22,7,01.05.2020
Удмуртская Республика,237,31,8,01.05.2020
Республика Калмыкия,231,39,3,01.05.2020
Республика Саха (Якутия),229,29,3,01.05.2020
Костромская область,227,33,3,01.05.2020
Архангельская область,213,51,5,01.05.2020
Вологодская область,184,50,0,01.05.2020
Республика Адыгея,165,48,3,01.05.2020
Псковская область,153,17,8,01.05.2020
Забайкальский край,134,39,0,01.05.2020
Еврейская автономная область,131,13,0,01.05.2020
Кемеровская область,128,19,2,01.05.2020
Иркутская область,123,50,4,01.05.2020
Магаданская область,110,3,2,01.05.2020
Омская область,107,26,3,01.05.2020
Томская область,97,24,1,01.05.2020
Республика Крым,92,35,0,01.05.2020
Севастополь,85,9,0,01.05.2020
Республика Карелия,74,11,0,01.05.2020
Амурская область,67,12,1,01.05.2020
Курганская область,45,11,0,01.05.2020
Республика Тыва,39,29,0,01.05.2020
Ненецкий автономный округ,34,1,0,01.05.2020
Республика Алтай,33,0,0,01.05.2020
Сахалинская область,24,19,0,01.05.2020
Чукотский автономный округ,20,2,0,01.05.2020
Москва,62658,6374,695,02.05.2020
Московская область,13314,503,109,02.05.2020
Санкт-Петербург,4734,877,33,02.05.2020
Нижегородская область,2443,318,14,02.05.2020
Республика Дагестан,1662,170,12,02.05.2020
Мурманская область,1456,116,4,02.05.2020
Краснодарский край,1162,319,20,02.05.2020
Тульская область,1135,138,7,02.05.2020
Ростовская область,1106,101,9,02.05.2020
Калужская область,1065,95,12,02.05.2020
Брянская область,1062,261,9,02.05.2020
Рязанская область,1021,64,5,02.05.2020
Свердловская область,1016,120,1,02.05.2020
Ленинградская область,975,170,3,02.05.2020
Республика Татарстан,960,100,2,02.05.2020
Республика Башкортостан,935,176,14,02.05.2020
Республика Северная Осетия — Алания,921,86,4,02.05.2020
Курская область,861,103,4,02.05.2020
Республика Ингушетия,814,152,23,02.05.2020
Владимирская область,775,37,7,02.05.2020
Республика Мордовия,765,94,3,02.05.2020
Красноярский край,764,146,9,02.05.2020
Тамбовская область,729,110,2,02.05.2020
Республика Чувашия,676,131,8,02.05.2020
Ставропольский край,676,116,14,02.05.2020
Республика Коми,656,91,5,02.05.2020
Ярославская область,634,64,5,02.05.2020
Республика Марий Эл,628,373,3,02.05.2020
Тверская область,610,74,3,02.05.2020
Хабаровский край,595,99,7,02.05.2020
Орловская область,594,88,6,02.05.2020
Оренбургская область,591,190,4,02.05.2020
Новосибирская область,569,105,7,02.05.2020
Челябинская область ,568,66,2,02.05.2020
Воронежская область,565,84,9,02.05.2020
Ямало-Ненецкий автономный округ,557,118,1,02.05.2020
Пермский край,556,161,9,02.05.2020
Кабардино-Балкарская Республика,544,91,2,02.05.2020
Кировская область,543,59,4,02.05.2020
Саратовская область,535,73,3,02.05.2020
Чеченская Республика,525,276,8,02.05.2020
Смоленская область,499,69,3,02.05.2020
Пензенская область,481,148,7,02.05.2020
Липецкая область,481,89,2,02.05.2020
Ульяновская область,461,78,4,02.05.2020
Тюменская область,458,140,3,02.05.2020
Приморский край,455,61,4,02.05.2020
Алтайский край,451,69,1,02.05.2020
Калининградская область,438,98,6,02.05.2020
Ивановская область,434,85,3,02.05.2020
